"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Street Sweeping Request","Environmental Services","34##","CARIBOU","WARD 9","Phone","OCT 16, 2025 08:31:52 AM"
"Street Sweeping Request","Environmental Services","67##","TECUMSEH","WARD 8","Citizen Mobile Apps","OCT 07, 2025 02:22:24 PM"
"Street Sweeping Request","Environmental Services"," ","DOUGALL AVE & WYANDOTTE ST W","WARD 3","Phone","OCT 08, 2025 01:20:36 PM"
"Street Sweeping Request","Environmental Services"," ","SOUTH CAMERON BLVD & ARCADIA ST","WARD 10","Phone","SEP 22, 2025 03:12:53 PM"
"Street Sweeping Request","Environmental Services"," ","HURON CHURCH RD & COLLEGE AVE","WARD 2","Phone","SEP 24, 2025 08:25:57 AM"
"Street Sweeping Request","Environmental Services","15##","JANETTE","WARD 3","Phone","OCT 20, 2025 02:41:23 PM"
"Street Sweeping Request","Environmental Services","7##","JANETTE","WARD 3","Phone","OCT 23, 2025 10:13:51 AM"
"Street Sweeping Request","Environmental Services","13##","HALL","WARD 4","Phone","OCT 21, 2025 01:04:07 PM"
"Street Sweeping Request","Environmental Services","9##","MONMOUTH","WARD 4","Phone","MAY 27, 2025 09:44:16 AM"
"Street Sweeping Request","Environmental Services","15##","PILLETTE","WARD 5","Phone","MAY 29, 2025 09:03:22 AM"
"Street Sweeping Request","Environmental Services","6##","GRAND MARAIS","WARD 10","Phone","JUN 27, 2025 09:08:34 AM"
"Street Sweeping Request","Environmental Services","32##","ACADEMY","WARD 1","Phone","JUN 27, 2025 11:20:38 AM"
"Street Sweeping Request","Environmental Services","12##","LAURENDEAU","WARD 5","Phone","MAY 23, 2025 11:59:23 AM"
"Street Sweeping Request","Environmental Services","32##","BYNG","WARD 9","E-Mail","JUN 12, 2025 10:53:18 AM"
"Street Sweeping Request","Environmental Services","14##","GLADSTONE","WARD 4","Phone","JUN 03, 2025 11:23:00 AM"
"Street Sweeping Request","Environmental Services","29##","ACADEMY","WARD 1","Phone","JUN 12, 2025 01:39:45 PM"
"Street Sweeping Request","Environmental Services","36##","RANDOLPH","WARD 1","Phone","JUN 03, 2025 11:25:52 AM"
"Street Sweeping Request","Environmental Services","56##","BALDWIN","WARD 8","Phone","JUN 12, 2025 01:40:09 PM"
"Street Sweeping Request","Environmental Services"," ","MILLOY ST & FACTORIA RD","WARD 5","Phone","JUN 03, 2025 01:07:54 PM"
"Street Sweeping Request","Environmental Services","9##","MOY","WARD 4","Phone","JUN 03, 2025 02:39:40 PM"
"Street Sweeping Request","Environmental Services","22##","LINCOLN","WARD 4","Phone","JUN 04, 2025 09:23:53 AM"
"Street Sweeping Request","Environmental Services","9##","TUSCARORA","WARD 4","Citizen Mobile Apps","JUN 04, 2025 09:56:19 AM"
"Street Sweeping Request","Environmental Services","16##","PIERRE","WARD 4","Citizen Mobile Apps","JUN 04, 2025 10:48:42 AM"
"Street Sweeping Request","Environmental Services","32##","BABY","WARD 2","Phone","JUN 05, 2025 10:48:21 AM"
"Street Sweeping Request","Environmental Services","11##","REEDMERE","WARD 6","Phone","JUN 06, 2025 03:36:40 PM"
"Street Sweeping Request","Environmental Services","12##","LAURENDEAU","WARD 5","Phone","JUN 09, 2025 12:22:33 PM"
"Street Sweeping Request","Environmental Services","38##","VILLA BORGHESE","WARD 1","Phone","JUN 11, 2025 04:00:02 PM"
"Street Sweeping Request","Environmental Services","20##","RICHMOND","WARD 4","Phone","JUN 05, 2025 09:24:59 AM"
"Street Sweeping Request","Environmental Services","6##","CHAMPLAIN","WARD 1","Phone","JUN 27, 2025 03:23:27 PM"
"Street Sweeping Request","Environmental Services"," ","RHODES DR & JEFFERSON BLVD","WARD 9","E-Mail","JUL 07, 2025 09:37:22 AM"
"Street Sweeping Request","Environmental Services"," ","MORAND ST & HOWARD AVE","WARD 9","Phone","MAY 09, 2025 01:01:38 PM"
"Street Sweeping Request","Environmental Services","36##","GIRARDOT","WARD 2","Phone","MAY 09, 2025 02:56:30 PM"
"Street Sweeping Request","Environmental Services","23##","FRASER","WARD 4","Phone","MAY 12, 2025 12:08:30 PM"
"Street Sweeping Request","Environmental Services","14##","ROXBOROUGH","WARD 10","Phone","MAY 12, 2025 01:30:20 PM"
"Street Sweeping Request","Environmental Services"," ","EVERTS AVE & OJIBWAY ST","WARD 10","Phone","MAY 16, 2025 03:02:33 PM"
"Street Sweeping Request","Environmental Services","101##","EASTCOURT","WARD 7","Phone","APR 25, 2025 02:28:16 PM"
"Street Sweeping Request","Environmental Services"," ","ERIE ST E & MCDOUGALL ST","WARD 3","Phone","APR 22, 2025 11:29:58 AM"
"Street Sweeping Request","Environmental Services","16##","ALEXIS","WARD 5","Phone","APR 24, 2025 11:38:59 AM"
"Street Sweeping Request","Environmental Services","6##","JANETTE","WARD 3","Phone","APR 24, 2025 01:05:55 PM"
"Street Sweeping Request","Environmental Services"," ","PATRICIA RD & UNION ST","WARD 2","Phone","APR 28, 2025 11:15:35 AM"
"Street Sweeping Request","Environmental Services","65##","CANTELON","WARD 8","E-Mail","APR 25, 2025 03:42:07 PM"
"Street Sweeping Request","Environmental Services","30##","RUSSELL","WARD 2","Phone","APR 29, 2025 12:21:12 PM"
"Street Sweeping Request","Environmental Services","16##","CALIFORNIA","WARD 10","Phone","MAY 05, 2025 09:11:20 AM"
"Street Sweeping Request","Environmental Services"," ","HALSTEAD CRES & DEERBROOK DR","WARD 7","Phone","JUL 07, 2025 04:00:12 PM"
"Street Sweeping Request","Environmental Services","8##","ROSELAND","WARD 1","Phone","JUL 09, 2025 09:24:31 AM"
"Street Sweeping Request","Environmental Services","7##","AYLMER","WARD 3","Phone","JUL 09, 2025 11:58:09 AM"
"Street Sweeping Request","Environmental Services","12##","ARNCLIFFE","WARD 6","Phone","JUL 09, 2025 02:17:36 PM"
"Street Sweeping Request","Environmental Services","23##","ALEXIS","WARD 5","Phone","JUN 18, 2025 12:06:00 PM"
"Street Sweeping Request","Environmental Services","32##","RIBERDY","WARD 9","E-Mail","JUN 19, 2025 08:47:30 AM"
"Street Sweeping Request","Environmental Services","9##","THOMPSON","WARD 6","Phone","JUN 19, 2025 11:11:29 AM"
"Street Sweeping Request","Environmental Services","5##","PITT","WARD 3","Phone","AUG 21, 2025 08:48:14 AM"
"Street Sweeping Request","Environmental Services","35##","PINEVIEW","WARD 7","Phone","SEP 26, 2025 10:31:50 AM"
"Street Sweeping Request","Environmental Services","12##","FELIX","WARD 2","Phone","JUN 17, 2025 10:26:16 AM"
"Street Sweeping Request","Environmental Services","35##","QUEEN","WARD 2","Phone","JUN 18, 2025 09:52:03 AM"
"Street Sweeping Request","Environmental Services","36##","WYANDOTTE","WARD 5","Citizen Mobile Apps","JUL 24, 2025 09:06:38 AM"
"Street Sweeping Request","Environmental Services","13##","PRINCE","WARD 2","Phone","MAY 29, 2025 02:51:02 PM"
"Street Sweeping Request","Environmental Services","72##","RIVERSIDE","WARD 6","Phone","MAY 30, 2025 08:32:24 AM"
"Street Sweeping Request","Environmental Services","10##","VICTORIA","WARD 3","Phone","MAY 07, 2025 11:29:44 AM"
"Street Sweeping Request","Environmental Services","14##","PARTINGTON","WARD 10","Phone","MAY 22, 2025 09:30:11 AM"
"Street Sweeping Request","Environmental Services","26##","PRINCESS","WARD 8","Phone","MAY 27, 2025 11:15:01 AM"
"Street Sweeping Request","Environmental Services","41##","ROSELAND","WARD 1","Phone","MAY 27, 2025 12:31:45 PM"
"Street Sweeping Request","Environmental Services","10##","MONMOUTH","WARD 4","Phone","NOV 20, 2025 10:59:51 AM"
"Street Sweeping Request","Environmental Services","9##","BRIDGE","WARD 2","Phone","NOV 21, 2025 12:01:23 PM"
"Street Sweeping Request","Environmental Services"," ","WEST GRAND BLVD & RADISSON AVE","WARD 1","E-Mail","JUL 23, 2025 09:07:21 AM"
"Street Sweeping Request","Environmental Services"," ","KILDARE RD & SOMME AVE","WARD 4","Phone","JUL 11, 2025 11:31:17 AM"
"Street Sweeping Request","Environmental Services","13##","BERNARD","WARD 5","Phone","JUN 03, 2025 09:02:30 AM"
"Street Sweeping Request","Environmental Services","10##","DOUGALL","WARD 3","E-Mail","JUN 03, 2025 10:05:34 AM"
"Street Sweeping Request","Environmental Services","10##","HICKORY","WARD 5","Phone","JUN 03, 2025 10:20:33 AM"
"Street Sweeping Request","Environmental Services","12##","HARRISON","WARD 2","Phone","JUN 02, 2025 11:01:42 AM"
"Street Sweeping Request","Environmental Services","19##","LABADIE","WARD 5","Phone","JUN 02, 2025 12:49:43 PM"
"Street Sweeping Request","Environmental Services","23##","FRASER","WARD 4","Phone","JUN 02, 2025 02:50:37 PM"
"Street Sweeping Request","Environmental Services","5##","PITT","WARD 3","Phone","JUN 09, 2025 09:04:21 AM"
"Street Sweeping Request","Environmental Services","67##","CANTELON","WARD 8","E-Mail","APR 15, 2025 08:15:19 AM"
"Street Sweeping Request","Environmental Services","72##","RIVERSIDE","WARD 6","Phone","JUN 09, 2025 11:00:34 AM"
"Street Sweeping Request","Environmental Services","32##","BYNG","WARD 9","E-Mail","JUN 16, 2025 08:48:04 AM"
"Street Sweeping Request","Environmental Services"," ","BRIDGE AVE & UNIVERSITY AVE W","WARD 2","Phone","NOV 24, 2025 02:51:22 PM"
"Street Sweeping Request","Environmental Services","13##","VICTORIA","WARD 3","E-Mail","NOV 25, 2025 11:35:51 AM"
"Street Sweeping Request","Environmental Services","39##","RODD","WARD 1","Phone","NOV 28, 2025 11:28:46 AM"
"Street Sweeping Request","Environmental Services","12##","ASKIN","WARD 2","Phone","DEC 04, 2025 10:36:12 AM"
"Street Sweeping Request","Environmental Services","33##","RIBERDY","WARD 9","Phone","DEC 10, 2025 10:02:13 AM"
"Street Sweeping Request","Environmental Services","41##","ROSELAND","WARD 1","Phone","DEC 08, 2025 01:06:08 PM"
"Street Sweeping Request","Environmental Services","19##","BERNARD","WARD 5","Phone","SEP 04, 2025 11:16:05 AM"
"Street Sweeping Request","Environmental Services","35##","SANDWICH","WARD 2","Phone","JUL 30, 2025 02:27:58 PM"
"Street Sweeping Request","Environmental Services","17##","FACTORIA","WARD 5","Phone","JUL 30, 2025 12:13:48 PM"
"Street Sweeping Request","Environmental Services","16##","ELSMERE","WARD 4","Phone","AUG 05, 2025 10:55:05 AM"
"Street Sweeping Request","Environmental Services","5##","PRINCE","WARD 2","Phone","AUG 07, 2025 09:18:55 AM"
"Street Sweeping Request","Environmental Services","38##","HOWARD","WARD 9","Phone","AUG 07, 2025 10:18:55 AM"
"Street Sweeping Request","Environmental Services","15##","NIAGARA","WARD 4","Phone","AUG 07, 2025 03:01:13 PM"
"Street Sweeping Request","Environmental Services"," ","JANETTE AVE & WYANDOTTE ST W","WARD 3","Phone","AUG 08, 2025 08:45:40 AM"
"Street Sweeping Request","Environmental Services"," ","ELLIS ST E & BENJAMIN AVE","WARD 4","Phone","AUG 08, 2025 12:46:17 PM"
"Street Sweeping Request","Environmental Services","12##","HICKORY","WARD 5","Phone","SEP 16, 2025 12:22:20 PM"
"Street Sweeping Request","Environmental Services","10##","CATARAQUI","WARD 4","Phone","AUG 21, 2025 08:44:17 AM"
"Street Sweeping Request","Environmental Services","14##","LABADIE","WARD 5","Phone","AUG 22, 2025 12:27:01 PM"
"Street Sweeping Request","Environmental Services","13##","BERNARD","WARD 5","Phone","AUG 26, 2025 02:41:46 PM"
"Street Sweeping Request","Environmental Services","38##","BLACKBURN","WARD 2","Phone","SEP 04, 2025 11:41:42 AM"
"Street Sweeping Request","Environmental Services","40##","SANDWICH","WARD 2","Citizen Mobile Apps","AUG 22, 2025 08:59:59 AM"
"Street Sweeping Request","Environmental Services","29##","BRIMLEY","WARD 7","Phone","AUG 14, 2025 12:39:04 PM"
"Street Sweeping Request","Environmental Services"," ","TECUMSEH RD E & ROSEVILLE GARDEN DR","WARD 8","Phone","JUL 30, 2025 01:07:24 PM"
"Street Sweeping Request","Environmental Services","21##","DOUGALL","WARD 3","Phone","JUL 30, 2025 01:37:11 PM"
"Street Sweeping Request","Environmental Services","26##","PAUL MARTIN","WARD 10","Phone","AUG 01, 2025 01:11:43 PM"
"Street Sweeping Request","Environmental Services"," ","SEMINOLE ST & PILLETTE RD","WARD 5","Phone","AUG 01, 2025 03:55:08 PM"
"Street Sweeping Request","Environmental Services","16##","HIGHLAND","WARD 3","Phone","AUG 05, 2025 09:01:11 AM"
"Street Sweeping Request","Environmental Services","5##","PITT","WARD 3","Phone","SEP 09, 2025 09:26:22 AM"
"Street Sweeping Request","Environmental Services"," ","OTTAWA ST & LILLIAN AVE","WARD 4","Phone","SEP 09, 2025 12:18:31 PM"
"Street Sweeping Request","Environmental Services"," ","ELM AVE & UNIVERSITY AVE W","WARD 3","Phone","SEP 19, 2025 01:14:39 PM"
"Street Sweeping Request","Environmental Services","7##","WYANDOTTE","WARD 4","Phone","AUG 22, 2025 01:22:42 PM"
"Street Sweeping Request","Environmental Services"," ","TECUMSEH RD E & MELDRUM RD","WARD 5","Phone","AUG 25, 2025 10:36:12 AM"
"Street Sweeping Request","Environmental Services","15##","GLADSTONE","WARD 4","Phone","FEB 10, 2025 10:18:06 AM"
"Street Sweeping Request","Environmental Services"," ","JANETTE AVE & ERIE ST W","WARD 3","Phone","JUN 20, 2025 10:25:26 AM"
"Street Sweeping Request","Environmental Services","41##","ROSELAND","WARD 1","Phone","JUN 20, 2025 03:06:31 PM"
"Street Sweeping Request","Environmental Services"," ","RUSSELL ST & BROCK ST","WARD 2","Phone","MAR 11, 2025 01:13:08 PM"
"Street Sweeping Request","Environmental Services","3##","DEVONSHIRE","WARD 4","E-Mail","MAR 11, 2025 01:18:35 PM"
"Street Sweeping Request","Environmental Services"," ","KENWOOD CRES & APPLE LANE","WARD 7","Phone","MAR 11, 2025 01:28:11 PM"
"Street Sweeping Request","Environmental Services","9##","PRINCE","WARD 2","Phone","JUL 08, 2025 09:59:45 AM"
"Street Sweeping Request","Environmental Services","16##","DUFFERIN","WARD 3","Phone","MAR 12, 2025 12:20:33 PM"
"Street Sweeping Request","Environmental Services","9##","BROADWAY","WARD 1","Phone","MAR 12, 2025 03:56:08 PM"
"Street Sweeping Request","Environmental Services","15##","NIAGARA","WARD 4","Phone","APR 29, 2025 01:01:02 PM"
"Street Sweeping Request","Environmental Services","11##","GLADSTONE","WARD 4","Phone","APR 16, 2025 03:40:45 PM"
"Street Sweeping Request","Environmental Services"," ","DOUGALL AVE & ERIE ST W","WARD 3","E-Mail","APR 14, 2025 01:19:14 PM"
"Street Sweeping Request","Environmental Services","20##","WYANDOTTE","WARD 2","Phone","APR 17, 2025 02:55:34 PM"
"Street Sweeping Request","Environmental Services"," ","PARENT AVE & TECUMSEH RD E","WARD 4","Phone","APR 07, 2025 11:31:56 AM"
"Street Sweeping Request","Environmental Services","16##","GREENVIEW","WARD 2","Phone","APR 08, 2025 09:49:15 AM"
"Street Sweeping Request","Environmental Services"," ","CENTRAL AVE & ONTARIO ST","WARD 5","Phone","APR 08, 2025 10:57:49 AM"
"Street Sweeping Request","Environmental Services"," ","ONTARIO ST & HIGH ST","WARD 5","Phone","APR 08, 2025 11:01:19 AM"
"Street Sweeping Request","Environmental Services"," ","ELLIOTT ST E & PARENT AVE","WARD 4","Phone","APR 11, 2025 03:40:35 PM"
"Street Sweeping Request","Environmental Services","23##","WOODLAWN","WARD 4","Phone","APR 09, 2025 10:07:18 AM"
"Street Sweeping Request","Environmental Services","10##","BROCK","WARD 2","Citizen Mobile Apps","APR 23, 2025 01:06:24 PM"
"Street Sweeping Request","Environmental Services","14##","ROXBOROUGH","WARD 10","Phone","APR 23, 2025 02:24:54 PM"
"Street Sweeping Request","Environmental Services","12##","MCKAY","WARD 2","Phone","APR 23, 2025 03:22:07 PM"
"Street Sweeping Request","Environmental Services","6##","DEVONSHIRE","WARD 4","E-Mail","MAR 04, 2025 11:11:09 AM"
"Street Sweeping Request","Environmental Services","67##","CANTELON","WARD 8","E-Mail","MAR 11, 2025 09:51:09 AM"
"Street Sweeping Request","Environmental Services","34##","DEERBROOK","WARD 7","Phone","APR 14, 2025 10:40:06 AM"
"Street Sweeping Request","Environmental Services","16##","GREENVIEW","WARD 2","Phone","APR 22, 2025 02:33:55 PM"
"Street Sweeping Request","Environmental Services","77##","RIVERSIDE","WARD 6","Phone","MAY 14, 2025 08:49:57 AM"
"Street Sweeping Request","Environmental Services","77##","RIVERSIDE","WARD 6","Phone","MAY 14, 2025 10:22:11 AM"
"Street Sweeping Request","Environmental Services"," ","RIVERSIDE DR E & LAUZON RD","WARD 6","Phone","MAY 15, 2025 10:28:15 AM"
"Street Sweeping Request","Environmental Services"," ","SANDWICH ST & BROCK ST","WARD 2","E-Mail","MAY 15, 2025 01:44:11 PM"
"Street Sweeping Request","Environmental Services","3##","OAK","WARD 3","Phone","MAY 01, 2025 11:15:55 AM"
"Street Sweeping Request","Environmental Services","34##","RIBERDY","WARD 9","Phone","MAR 19, 2025 10:29:30 AM"
"Street Sweeping Request","Environmental Services","4##","ROSELAWN","WARD 1","Phone","MAY 23, 2025 10:31:19 AM"
"Street Sweeping Request","Environmental Services"," ","DEVONSHIRE RD & TUSCARORA ST","WARD 4","E-Mail","MAR 10, 2025 03:00:24 PM"
"Street Sweeping Request","Environmental Services","22##","AMY LYNN PARK","WARD 1","Phone","MAR 06, 2025 10:38:03 AM"
"Street Sweeping Request","Environmental Services"," ","TECUMSEH RD W & ASKIN AVE","WARD 10","Phone","MAR 06, 2025 01:29:13 PM"
"Street Sweeping Request","Environmental Services","37##","MONTCALM","WARD 2","Phone","MAR 07, 2025 01:07:12 PM"
"Street Sweeping Request","Environmental Services","12##","WIGLE","WARD 2","Phone","APR 03, 2025 10:22:47 AM"
"Street Sweeping Request","Environmental Services","21##","YORK","WARD 3","Phone","APR 03, 2025 03:38:26 PM"
"Street Sweeping Request","Environmental Services"," ","ERIE ST W & VICTORIA AVE","WARD 3","Phone","APR 03, 2025 03:56:56 PM"
"Street Sweeping Request","Environmental Services","10##","BRUCE","WARD 3","Phone","APR 04, 2025 10:37:44 AM"
"Street Sweeping Request","Environmental Services","11##","CLOVER","WARD 7","Phone","APR 04, 2025 12:44:27 PM"
"Street Sweeping Request","Environmental Services","17##","ST LUKE","WARD 5","Phone","APR 04, 2025 03:23:30 PM"
"Street Sweeping Request","Environmental Services","21##","YORK","WARD 3","Phone","APR 04, 2025 03:57:31 PM"
"Street Sweeping Request","Environmental Services","11##","JANETTE","WARD 3","Phone","APR 07, 2025 09:50:49 AM"
"Street Sweeping Request","Environmental Services","17##","MARK","WARD 10","Phone","APR 03, 2025 10:11:28 AM"
"Street Sweeping Request","Environmental Services","21##","PARENT","WARD 4","Phone","MAR 26, 2025 10:00:32 AM"
"Street Sweeping Request","Environmental Services","5##","PITT","WARD 3","Phone","MAR 28, 2025 10:55:47 AM"
"Street Sweeping Request","Environmental Services","74##","RIVERSIDE","WARD 6","Phone","APR 02, 2025 01:18:53 PM"
"Street Sweeping Request","Environmental Services","10##","LAUZON","WARD 6","Phone","APR 03, 2025 10:23:47 AM"
"Street Sweeping Request","Environmental Services","24##","BYNG","WARD 4","Phone","MAR 04, 2025 12:50:44 PM"
"Street Sweeping Request","Environmental Services","19##","VIMY","WARD 4","E-Mail","APR 28, 2025 02:28:02 PM"
"Street Sweeping Request","Environmental Services"," ","DOUGALL AVE & ERIE ST W","WARD 3","Phone","APR 30, 2025 12:42:42 PM"
"Street Sweeping Request","Environmental Services","15##","MOY","WARD 4","Citizen Mobile Apps","MAY 01, 2025 10:16:35 AM"
"Street Sweeping Request","Environmental Services"," ","TUSCARORA ST & PARENT AVE","WARD 4","E-Mail","APR 08, 2025 10:26:46 AM"
"Street Sweeping Request","Environmental Services","21##","VICTORIA","WARD 3","Phone","MAR 24, 2025 10:38:28 AM"
"Street Sweeping Request","Environmental Services","14##","GLADSTONE","WARD 4","Phone","MAR 25, 2025 01:29:12 PM"
