"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Yard Waste Not Collected","Environmental Services","7##","NEWPORT","WARD 10","Phone","NOV 15, 2023 08:54:47 AM"
"Yard Waste Not Collected","Environmental Services","26##","ELSMERE","WARD 10","Phone","NOV 15, 2023 03:21:27 PM"
"Yard Waste Not Collected","Environmental Services","10##","HICKORY","WARD 5","Phone","NOV 09, 2023 11:19:01 AM"
"Yard Waste Not Collected","Environmental Services","22##","EVERTS","WARD 10","Phone","NOV 07, 2023 03:11:20 PM"
"Yard Waste Not Collected","Environmental Services","8##","REEDMERE","WARD 6","Phone","SEP 15, 2023 10:02:37 AM"
"Yard Waste Not Collected","Environmental Services","20##","OTTAWA","WARD 4","Phone","SEP 15, 2023 10:47:38 AM"
"Yard Waste Not Collected","Environmental Services","25##","FESTIVAL","WARD 7","Phone","SEP 15, 2023 11:50:33 AM"
"Yard Waste Not Collected","Environmental Services","12##","FOXHILL","WARD 6","Phone","SEP 15, 2023 03:12:04 PM"
"Yard Waste Not Collected","Environmental Services","15##","HIGHLAND","WARD 3","Phone","OCT 27, 2023 02:05:56 PM"
"Yard Waste Not Collected","Environmental Services","18##","MELDRUM","WARD 5","Phone","MAY 05, 2023 02:48:05 PM"
"Yard Waste Not Collected","Environmental Services","25##","BYNG","WARD 4","E-Mail","MAY 08, 2023 09:47:49 AM"
"Yard Waste Not Collected","Environmental Services","12##","LABOUR","WARD 9","Phone","MAY 09, 2023 10:07:54 AM"
"Yard Waste Not Collected","Environmental Services","31##","HARMONY","WARD 8","Phone","APR 21, 2023 02:53:49 PM"
"Yard Waste Not Collected","Environmental Services","31##","LOCUST","WARD 7","Phone","APR 24, 2023 09:08:28 AM"
"Yard Waste Not Collected","Environmental Services","30##","CHURCH","WARD 1","Phone","AUG 09, 2023 08:48:27 AM"
"Yard Waste Not Collected","Environmental Services","4##","GILES","WARD 3","Phone","DEC 07, 2023 10:56:30 AM"
"Yard Waste Not Collected","Environmental Services","15##","DOUGALL","WARD 3","Phone","DEC 07, 2023 11:10:33 AM"
"Yard Waste Not Collected","Environmental Services","13##","HALL","WARD 4","Phone","DEC 07, 2023 03:41:04 PM"
"Yard Waste Not Collected","Environmental Services","14##","DROUILLARD","WARD 5","Phone","DEC 08, 2023 08:59:26 AM"
"Yard Waste Not Collected","Environmental Services","25##","SEMINOLE","WARD 5","Phone","DEC 08, 2023 09:09:19 AM"
"Yard Waste Not Collected","Environmental Services","16##","ALEXIS","WARD 5","Phone","DEC 08, 2023 09:57:05 AM"
"Yard Waste Not Collected","Environmental Services","11##","VICTORIA","WARD 3","Phone","JUL 19, 2023 12:39:54 PM"
"Yard Waste Not Collected","Environmental Services","17##","MCKAY","WARD 10","Phone","JUL 19, 2023 03:19:20 PM"
"Yard Waste Not Collected","Environmental Services","16##","DAYTONA","WARD 10","Phone","JUL 19, 2023 11:57:39 AM"
"Yard Waste Not Collected","Environmental Services","6##","RANDOLPH","WARD 2","Phone","AUG 15, 2023 01:07:27 PM"
"Yard Waste Not Collected","Environmental Services","9##","JOSEPHINE","WARD 2","Citizen Mobile Apps","AUG 15, 2023 05:29:51 PM"
"Yard Waste Not Collected","Environmental Services","16##","DAYTONA","WARD 10","Phone","AUG 16, 2023 11:06:10 AM"
"Yard Waste Not Collected","Environmental Services","12##","ASKIN","WARD 2","Phone","AUG 16, 2023 11:39:30 AM"
"Yard Waste Not Collected","Environmental Services","11##","HALL","WARD 4","E-Mail","NOV 10, 2023 09:11:23 AM"
"Yard Waste Not Collected","Environmental Services","34##","SOUILLIERE","WARD 7","Phone","OCT 20, 2023 03:01:08 PM"
"Yard Waste Not Collected","Environmental Services","3##","POMPANO","WARD 9","Phone","OCT 20, 2023 08:31:37 AM"
"Yard Waste Not Collected","Environmental Services","36##","STEPHANIE","WARD 9","Phone","OCT 20, 2023 09:43:43 AM"
"Yard Waste Not Collected","Environmental Services","23##","ROSSINI","WARD 5","Phone","AUG 14, 2023 08:08:35 AM"
"Yard Waste Not Collected","Environmental Services","25##","ELLROSE","WARD 5","Phone","AUG 14, 2023 10:10:58 AM"
"Yard Waste Not Collected","Environmental Services","16##","FORD","WARD 8","Phone","JUN 16, 2023 08:06:14 AM"
"Yard Waste Not Collected","Environmental Services","16##","LINCOLN","WARD 4","Citizen Mobile Apps","JUN 16, 2023 02:17:31 PM"
"Yard Waste Not Collected","Environmental Services","39##","ACORN","WARD 9","Phone","OCT 12, 2023 08:11:24 AM"
"Yard Waste Not Collected","Environmental Services","9##","MERRITT","WARD 2","Phone","OCT 12, 2023 08:18:57 AM"
"Yard Waste Not Collected","Environmental Services","16##","CHERRYLAWN","WARD 1","Phone","OCT 03, 2023 02:45:22 PM"
"Yard Waste Not Collected","Environmental Services","7##","SARAH","WARD 9","Phone","OCT 04, 2023 11:54:54 AM"
"Yard Waste Not Collected","Environmental Services","6##","CHRISTINA","WARD 1","Phone","OCT 05, 2023 01:22:10 PM"
"Yard Waste Not Collected","Environmental Services","24##","TURNER","WARD 4","Phone","OCT 06, 2023 08:34:57 AM"
"Yard Waste Not Collected","Environmental Services","9##","PAVAN","WARD 1","Web Intake","OCT 06, 2023 08:43:50 AM"
"Yard Waste Not Collected","Environmental Services","25##","TURNER","WARD 4","Phone","OCT 06, 2023 08:47:17 AM"
"Yard Waste Not Collected","Environmental Services","14##","GRANVILLE","WARD 2","Citizen Mobile Apps","JUL 22, 2023 08:37:35 AM"
"Yard Waste Not Collected","Environmental Services","70##","RIVERSIDE","WARD 6","Phone","JUL 24, 2023 08:36:21 AM"
"Yard Waste Not Collected","Environmental Services","19##","SPRING GARDEN","WARD 1","Phone","AUG 10, 2023 10:16:51 AM"
"Yard Waste Not Collected","Environmental Services","23##","CABANA","WARD 1","Phone","SEP 12, 2023 10:58:25 AM"
"Yard Waste Not Collected","Environmental Services","13##","GOYEAU","WARD 3","Phone","SEP 14, 2023 12:52:07 PM"
"Yard Waste Not Collected","Environmental Services","10##","LAWRENCE","WARD 6","Citizen Mobile Apps","AUG 02, 2023 06:01:03 PM"
"Yard Waste Not Collected","Environmental Services","22##","CALIFORNIA","WARD 10","Phone","DEC 06, 2023 10:05:33 AM"
"Yard Waste Not Collected","Environmental Services","21##","BYNG","WARD 4","Phone","NOV 17, 2023 03:08:05 PM"
"Yard Waste Not Collected","Environmental Services","9##","BRUCE","WARD 3","Phone","OCT 13, 2023 04:02:51 PM"
"Yard Waste Not Collected","Environmental Services","13##","COTTAGE","WARD 6","Phone","OCT 16, 2023 12:15:33 PM"
"Yard Waste Not Collected","Environmental Services","24##","DOMINION","WARD 10","Citizen Mobile Apps","AUG 09, 2023 07:47:52 PM"
"Yard Waste Not Collected","Environmental Services","46##","MALDEN","WARD 1","Phone","AUG 10, 2023 10:50:51 AM"
"Yard Waste Not Collected","Environmental Services","35##","DANDURAND","WARD 1","Phone","JUL 13, 2023 08:52:53 AM"
"Yard Waste Not Collected","Environmental Services","43##","ROSELAND","WARD 1","Phone","JUL 13, 2023 10:15:23 AM"
"Yard Waste Not Collected","Environmental Services","32##","TURNER","WARD 9","Phone","JUL 14, 2023 10:13:16 AM"
"Yard Waste Not Collected","Environmental Services","35##","DEERBROOK","WARD 7","Phone","JUL 14, 2023 01:56:55 PM"
"Yard Waste Not Collected","Environmental Services","2##","MOY","WARD 4","Phone","JUL 24, 2023 11:03:33 AM"
"Yard Waste Not Collected","Environmental Services","10##","FAIRVIEW","WARD 6","Phone","JUL 24, 2023 12:20:48 PM"
"Yard Waste Not Collected","Environmental Services","72##","WYANDOTTE","WARD 6","Phone","AUG 23, 2023 12:16:20 PM"
"Yard Waste Not Collected","Environmental Services","11##","ELSMERE","WARD 4","Phone","AUG 23, 2023 01:05:29 PM"
"Yard Waste Not Collected","Environmental Services","4##","MCEWAN","WARD 2","Phone","AUG 28, 2023 10:50:43 AM"
"Yard Waste Not Collected","Environmental Services","37##","TURNER","WARD 9","Phone","AUG 11, 2023 03:34:34 PM"
"Yard Waste Not Collected","Environmental Services","25##","BYNG","WARD 4","Citizen Mobile Apps","AUG 11, 2023 06:19:04 PM"
"Yard Waste Not Collected","Environmental Services","20##","ARRAS","WARD 4","Citizen Mobile Apps","AUG 11, 2023 08:50:13 PM"
"Yard Waste Not Collected","Environmental Services","19##","BALFOUR","WARD 8","Citizen Mobile Apps","AUG 12, 2023 09:36:38 AM"
"Yard Waste Not Collected","Environmental Services","11##","CHURCH","WARD 3","Phone","NOV 09, 2023 10:52:18 AM"
"Yard Waste Not Collected","Environmental Services","10##","CHURCH","WARD 3","Phone","NOV 09, 2023 10:39:59 AM"
"Yard Waste Not Collected","Environmental Services","10##","CHURCH","WARD 3","Phone","NOV 09, 2023 10:41:16 AM"
"Yard Waste Not Collected","Environmental Services","10##","CHURCH","WARD 3","Phone","NOV 09, 2023 11:01:14 AM"
"Yard Waste Not Collected","Environmental Services","4##","JOSEPHINE","WARD 2","Phone","DEC 05, 2023 08:27:48 AM"
"Yard Waste Not Collected","Environmental Services","25##","TURNER","WARD 4","Phone","OCT 06, 2023 09:52:30 AM"
"Yard Waste Not Collected","Environmental Services","21##","WOODLAWN","WARD 4","Phone","OCT 06, 2023 10:28:00 AM"
"Yard Waste Not Collected","Environmental Services","11##","CHURCH","WARD 3","Phone","NOV 10, 2023 08:09:49 AM"
"Yard Waste Not Collected","Environmental Services","11##","ALBERT","WARD 5","Phone","NOV 09, 2023 02:47:35 PM"
"Yard Waste Not Collected","Environmental Services","36##","WELLS","WARD 2","Phone","AUG 16, 2023 10:17:46 AM"
"Yard Waste Not Collected","Environmental Services","3##","JANETTE","WARD 3","Phone","AUG 17, 2023 01:16:23 PM"
"Yard Waste Not Collected","Environmental Services","2##","STRABANE","WARD 5","Phone","AUG 21, 2023 01:22:08 PM"
"Yard Waste Not Collected","Environmental Services","11##","VICTORIA","WARD 3","Phone","AUG 16, 2023 01:59:48 PM"
"Yard Waste Not Collected","Environmental Services","35##","MATCHETT","WARD 2","Phone","AUG 16, 2023 02:47:43 PM"
"Yard Waste Not Collected","Environmental Services","15##","PELISSIER","WARD 3","E-Mail","AUG 16, 2023 02:49:27 PM"
"Yard Waste Not Collected","Environmental Services","3##","GROVE","WARD 3","Phone","AUG 16, 2023 03:23:20 PM"
"Yard Waste Not Collected","Environmental Services","5##","ERIE","WARD 4","Citizen Mobile Apps","AUG 17, 2023 06:34:52 AM"
"Yard Waste Not Collected","Environmental Services","15##","ERIE","WARD 4","Phone","AUG 17, 2023 09:55:55 AM"
"Yard Waste Not Collected","Environmental Services","13##","WYANDOTTE","WARD 2","Phone","AUG 17, 2023 08:52:10 AM"
"Yard Waste Not Collected","Environmental Services","7##","BRUCE","WARD 3","Phone","JUL 21, 2023 09:24:20 AM"
"Yard Waste Not Collected","Environmental Services","7##","PARTINGTON","WARD 2","E-Mail","AUG 29, 2023 09:57:50 AM"
"Yard Waste Not Collected","Environmental Services","12##","GOYEAU","WARD 3","Phone","OCT 13, 2023 12:11:05 PM"
"Yard Waste Not Collected","Environmental Services","12##","GOYEAU","WARD 3","Phone","OCT 16, 2023 09:02:35 AM"
"Yard Waste Not Collected","Environmental Services","13##","GOYEAU","WARD 3","Phone","OCT 16, 2023 01:01:37 PM"
"Yard Waste Not Collected","Environmental Services","17##","HICKORY","WARD 5","Phone","AUG 17, 2023 03:56:15 PM"
"Yard Waste Not Collected","Environmental Services","10##","ALBERT","WARD 5","Citizen Mobile Apps","AUG 17, 2023 04:11:15 PM"
"Yard Waste Not Collected","Environmental Services","15##","AUBIN","WARD 5","Citizen Mobile Apps","AUG 17, 2023 07:48:55 PM"
"Yard Waste Not Collected","Environmental Services","15##","VICTORIA","WARD 3","Citizen Mobile Apps","AUG 18, 2023 08:55:00 AM"
"Yard Waste Not Collected","Environmental Services","39##","RIVERSIDE","WARD 5","Phone","AUG 18, 2023 09:49:21 AM"
"Yard Waste Not Collected","Environmental Services","11##","ELSMERE","WARD 4","Phone","AUG 18, 2023 09:58:46 AM"
"Yard Waste Not Collected","Environmental Services","87##","WYANDOTTE","WARD 6","Phone","AUG 18, 2023 10:10:58 AM"
"Yard Waste Not Collected","Environmental Services","14##","ALBERT","WARD 5","Phone","AUG 18, 2023 10:15:35 AM"
"Yard Waste Not Collected","Environmental Services","11##","AIRE","WARD 6","Phone","AUG 18, 2023 11:33:16 AM"
"Yard Waste Not Collected","Environmental Services","4##","MCEWAN","WARD 2","Phone","AUG 18, 2023 11:33:24 AM"
"Yard Waste Not Collected","Environmental Services","8##","DOUGALL","WARD 3","Phone","AUG 17, 2023 01:03:33 PM"
"Yard Waste Not Collected","Environmental Services","17##","SOUTH CAMERON","WARD 10","Phone","AUG 22, 2023 12:07:23 PM"
"Yard Waste Not Collected","Environmental Services","35##","QUEEN","WARD 2","Phone","JUN 21, 2023 08:04:04 AM"
"Yard Waste Not Collected","Environmental Services","20##","TECUMSEH","WARD 2","Phone","JUN 21, 2023 09:26:01 AM"
"Yard Waste Not Collected","Environmental Services","16##","RANDOLPH","WARD 10","Phone","JUN 21, 2023 09:35:21 AM"
"Yard Waste Not Collected","Environmental Services","16##","RIVERSIDE","WARD 2","Phone","JUN 21, 2023 11:08:42 AM"
"Yard Waste Not Collected","Environmental Services","15##","COLLEGE","WARD 2","Phone","JUN 21, 2023 11:41:49 AM"
"Yard Waste Not Collected","Environmental Services","8##","MCKAY","WARD 2","Phone","JUN 21, 2023 03:20:55 PM"
"Yard Waste Not Collected","Environmental Services","85##","FOXHILL","WARD 6","Citizen Mobile Apps","JUL 30, 2023 05:10:40 PM"
"Yard Waste Not Collected","Environmental Services","114##","AMALFI","WARD 7","Citizen Mobile Apps","JUL 31, 2023 04:42:56 PM"
"Yard Waste Not Collected","Environmental Services","5##","CARON","WARD 3","Phone","JUL 21, 2023 01:49:38 PM"
"Yard Waste Not Collected","Environmental Services","23##","WINDERMERE","WARD 4","Phone","OCT 06, 2023 08:38:57 AM"
"Yard Waste Not Collected","Environmental Services","35##","PINEVIEW","WARD 7","Phone","OCT 06, 2023 10:01:37 AM"
"Yard Waste Not Collected","Environmental Services","23##","MOY","WARD 4","Phone","NOV 30, 2023 03:35:45 PM"
"Yard Waste Not Collected","Environmental Services","34##","BARRYMORE","WARD 2","Citizen Mobile Apps","AUG 03, 2023 04:09:04 PM"
"Yard Waste Not Collected","Environmental Services","8##","WALKER","WARD 4","Phone","JUN 23, 2023 12:30:10 PM"
"Yard Waste Not Collected","Environmental Services","10##","MARION","WARD 4","Phone","JUN 26, 2023 08:40:47 AM"
"Yard Waste Not Collected","Environmental Services","10##","PARENT","WARD 4","Phone","OCT 26, 2023 09:08:09 AM"
"Yard Waste Not Collected","Environmental Services","14##","LINCOLN","WARD 4","Phone","OCT 26, 2023 10:07:22 AM"
"Yard Waste Not Collected","Environmental Services","8##","MARION","WARD 4","Phone","OCT 26, 2023 11:42:07 AM"
"Yard Waste Not Collected","Environmental Services","27##","DOMINION","WARD 10","Phone","OCT 11, 2023 10:35:57 AM"
"Yard Waste Not Collected","Environmental Services","2##","GILES","WARD 3","Phone","OCT 26, 2023 02:58:10 PM"
"Yard Waste Not Collected","Environmental Services","6##","ARGYLE","WARD 4","E-Mail","DEC 07, 2023 10:10:05 AM"
"Yard Waste Not Collected","Environmental Services","13##","COTTAGE","WARD 6","Citizen Mobile Apps","OCT 16, 2023 03:56:18 PM"
"Yard Waste Not Collected","Environmental Services","13##","COTTAGE","WARD 6","Citizen Mobile Apps","OCT 16, 2023 04:00:18 PM"
"Yard Waste Not Collected","Environmental Services","3##","GERALDINE","WARD 9","Phone","OCT 17, 2023 12:13:21 PM"
"Yard Waste Not Collected","Environmental Services","38##","SPENCER","WARD 9","Phone","OCT 18, 2023 08:10:43 AM"
"Yard Waste Not Collected","Environmental Services","13##","COTTAGE","WARD 6","Citizen Mobile Apps","OCT 16, 2023 03:58:18 PM"
"Yard Waste Not Collected","Environmental Services","30##","RADISSON","WARD 1","Citizen Mobile Apps","JUL 11, 2023 05:45:50 PM"
"Yard Waste Not Collected","Environmental Services","39##","MARACAIBO","WARD 9","Citizen Mobile Apps","JUL 12, 2023 11:50:08 AM"
"Yard Waste Not Collected","Environmental Services","48##","SOUTHWOOD LAKES","WARD 1","Web Intake","JUL 12, 2023 08:16:35 PM"
"Yard Waste Not Collected","Environmental Services","23##","AUBIN","WARD 5","Phone","AUG 03, 2023 09:42:03 AM"
"Yard Waste Not Collected","Environmental Services","39##","RIVERSIDE","WARD 5","Phone","JUN 23, 2023 11:25:58 AM"
"Yard Waste Not Collected","Environmental Services","14##","FRANCOIS","WARD 5","Phone","JUN 23, 2023 11:51:41 AM"
"Yard Waste Not Collected","Environmental Services","8##","WALKER","WARD 4","Phone","JUN 23, 2023 12:03:07 PM"
"Yard Waste Not Collected","Environmental Services","15##","LINCOLN","WARD 4","Phone","JUN 23, 2023 01:26:01 PM"
"Yard Waste Not Collected","Environmental Services","51##","WYANDOTTE","WARD 6","Phone","JUN 23, 2023 02:14:47 PM"
"Yard Waste Not Collected","Environmental Services","3##","MATTHEW BRADY","WARD 6","Phone","JUN 23, 2023 02:28:47 PM"
"Yard Waste Not Collected","Environmental Services","4##","MOUNTBATTEN","WARD 7","Phone","JUN 26, 2023 09:14:58 AM"
"Yard Waste Not Collected","Environmental Services","4##","MOUNTBATTEN","WARD 7","Phone","JUN 26, 2023 10:40:44 AM"
"Yard Waste Not Collected","Environmental Services","4##","MOUNTBATTEN","WARD 7","Phone","JUN 26, 2023 12:12:46 PM"
"Yard Waste Not Collected","Environmental Services","11##","HALL","WARD 4","Phone","JUN 27, 2023 02:59:02 PM"
"Yard Waste Not Collected","Environmental Services","26##","MELDRUM","WARD 5","Citizen Mobile Apps","SEP 19, 2023 06:16:42 PM"
"Yard Waste Not Collected","Environmental Services","95##","BEACHDALE","WARD 7","Phone","NOV 17, 2023 02:38:22 PM"
"Yard Waste Not Collected","Environmental Services","35##","RANDOLPH","WARD 1","Phone","NOV 15, 2023 03:57:59 PM"
"Yard Waste Not Collected","Environmental Services","38##","HOWARD","WARD 9","Phone","NOV 16, 2023 10:46:37 AM"
"Yard Waste Not Collected","Environmental Services","7##","NORTH TALBOT","WARD 1","Phone","JUL 17, 2023 09:13:46 AM"
"Yard Waste Not Collected","Environmental Services","20##","FORD","WARD 8","Phone","JUL 18, 2023 01:06:41 PM"
"Yard Waste Not Collected","Environmental Services","14##","KENORA","WARD 10","Phone","JUL 18, 2023 01:39:32 PM"
"Yard Waste Not Collected","Environmental Services","28##","MELBOURNE","WARD 2","Phone","JUL 18, 2023 01:56:11 PM"
"Yard Waste Not Collected","Environmental Services","37##","PETER","WARD 2","Phone","JUL 18, 2023 02:26:02 PM"
"Yard Waste Not Collected","Environmental Services","13##","ALBERT","WARD 5","Phone","AUG 18, 2023 10:41:21 AM"
"Yard Waste Not Collected","Environmental Services","8##","MATTHEW BRADY","WARD 6","Phone","AUG 21, 2023 09:16:08 AM"
"Yard Waste Not Collected","Environmental Services","53##","RIVERSIDE","WARD 6","Phone","AUG 21, 2023 10:46:14 AM"
"Yard Waste Not Collected","Environmental Services","36##","MATCHETT","WARD 2","Phone","AUG 16, 2023 09:05:48 AM"
"Yard Waste Not Collected","Environmental Services","13##","WYANDOTTE","WARD 2","Phone","AUG 16, 2023 09:51:57 AM"
"Yard Waste Not Collected","Environmental Services","21##","MCKAY","WARD 10","Phone","OCT 12, 2023 08:10:42 AM"
"Yard Waste Not Collected","Environmental Services","4##","BRIDGE","WARD 2","Phone","OCT 12, 2023 02:39:08 PM"
"Yard Waste Not Collected","Environmental Services","9##","GLADSTONE","WARD 4","Phone","OCT 13, 2023 08:21:17 AM"
"Yard Waste Not Collected","Environmental Services","10##","UNIVERSITY","WARD 3","Phone","OCT 13, 2023 09:14:36 AM"
"Yard Waste Not Collected","Environmental Services","10##","GLADSTONE","WARD 4","Phone","OCT 13, 2023 10:57:21 AM"
"Yard Waste Not Collected","Environmental Services","16##","DROUILLARD","WARD 5","Phone","OCT 13, 2023 11:46:53 AM"
"Yard Waste Not Collected","Environmental Services","4##","JOSEPHINE","WARD 2","Phone","OCT 13, 2023 12:58:33 PM"
"Yard Waste Not Collected","Environmental Services","6##","ARGYLE","WARD 4","E-Mail","OCT 13, 2023 02:17:32 PM"
"Yard Waste Not Collected","Environmental Services","8##","BUCKINGHAM","WARD 6","Citizen Mobile Apps","OCT 13, 2023 05:31:29 PM"
"Yard Waste Not Collected","Environmental Services","11##","LANGLOIS","WARD 4","Citizen Mobile Apps","SEP 20, 2023 05:09:11 PM"
"Yard Waste Not Collected","Environmental Services","31##","RADISSON","WARD 1","Phone","NOV 14, 2023 08:38:04 AM"
